probe	symbol
105655	PCDH19
105672	CDC20B
105680	OR5V1
105686	SMIM12
105689	RPS9
105692	ZNF670
105700	AMZ1
105711	MAPK8
105722	HOGA1
105724	RHCG
105728	HMGA2
105731	MC5R
105743	DIS3
105744	MAGI2
105746	PANX2
105748	PROCA1
105763	APOA4
105772	IL12RB1
105773	IL31RA
105790	CTSS
105793	PNN
105801	FGF14
105802	TNPO2
105805	RNASE11
105808	TLE1
105811	MIEF2
105812	NAT2
105816	RPS12
105822	SWAP70
105835	TRIM41
105837	MAGEL2
105861	TRIM3
105863	HIST1H1B
105864	WDR82
105868	TOMM34
105869	THAP1
105874	RASD2
105885	CLASRP
105886	OR51F2
105895	CHRND
105900	KRCC1
105903	SNUPN
105909	ZFP14
105914	ZNF326
105931	YEATS2
105933	UBE2G1
105946	HTR5A
105950	GRAP2
105954	RNF216
105956	PLA2G2F
105959	TSPO
105973	RPL27A
105979	ZNF764
105982	ZSWIM3
105984	NDUFB1
105988	IRF2BP1
105989	ZNF80
105991	AJAP1
106012	SLC25A20
106014	TBC1D17
106015	BORCS6
106022	GTF3A
106034	ZC3H3
106038	REG4
106063	C19orf68
106067	FOCAD
106084	RASA3
106094	BAZ2B
106095	NHP2
106096	SEC24D
106125	EXT2
106128	IFIT1
106142	CD200R1
106160	PIGR
106161	SYP
106164	NAA10
106167	CWC15
106171	PPIB
106172	VPS51
106187	CDC20
106192	MAP3K8
106198	CENPA
106202	UXS1
106211	AAR2
106212	FAM210B
106226	CASP8AP2
106227	DUSP14
106228	SNX12
106245	FOPNL
106264	AGAP11
106266	RNF182
106273	CD84
106282	SGF29
106304	EBLN2
106306	RINL
106309	CHRM2
106311	ZNF639
106320	CAPRIN2
106323	KLK10
106325	SLC11A1
106328	OR10T2
106334	NECAP2
106336	NUBPL
106341	TXNDC2
106342	GPATCH2
106345	ACAP1
106353	ALKBH8
106355	SSFA2
106362	SMAD9
106369	ZNF556
106373	HIGD2A
106376	NOTCH2NL
106378	P2RX5
106380	TET1
106382	ZFP64
106384	CBL
106393	C2orf83
106407	PARD3B
106409	MRVI1
106426	ARHGEF3
106427	CGNL1
106454	PDZRN3
106461	TSPAN1
106462	NRCAM
106465	CNP
106466	DRG2
106473	HKDC1
106491	ALDH5A1
106497	NMRK2
106502	PRF1
106505	VAT1L
106517	NGB
10651773	OR5K1
106522	AGK
106526	F11
106529	SMO
106534	DHRS2
106551	CNGB1
106552	TPP2
106564	HILPDA
106570	MICALL1
106573	AOX1
106574	CDK6
106596	TACC2
106597	IGFL3
106600	GADD45B
106601	FGFR1OP2
106604	PROS1
106626	EPC1
106637	NOP16
106649	WDR17
106683	ATP8B1
106688	POLE
106712	PREB
106722	UBE4A
106723	PCMT1
106732	ABCA1
106740	GTSF1L
106764	FAM102B
106765	OR52J3
106774	RAC1
106775	FBXO15
106777	THOC7
106787	NT5C3A
106796	ARPC5
106809	RPS6KB1
106827	SRSF12
106846	SHH
106848	SHCBP1
10685079	TP53TG3
106856	SLC22A16
106864	EFCAB5
10687064	C15orf53
10687190	TAS2R20
106874	LEMD3
106876	KIAA1324L
106891	TRAF6
106893	LPL
106895	UBR1
106901	UBQLN4
10690941	EIF4E
106911	CALB2
10692164	RAB43
10693022	RP1L1
106932	PCDHB4
10693399	ZNF678
106937	SH2D1B
10695642	SCHIP1
